Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
231.32,231.8,214.9,220.97,1399107,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-10-26
220.1,221.64,213.19,213.38,822834,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-10-27
209.95,209.95,200.5,201.43,1456391,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-10-28
201.32,208.24,201.0,205.62,834071,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-10-29
203.85,207.89,201.11,206.77,905207,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-10-30
209.0,211.44,206.8,210.78,961321,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-02
213.82,218.85,212.47,217.53,898160,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-03
217.52,222.51,216.5,217.32,711668,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-04
221.23,222.5,213.7,214.26,876185,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-05
214.99,216.07,210.01,215.02,661682,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-06
239.49,276.05,239.3,247.2,3557862,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-09
262.61,273.69,257.87,265.49,3573820,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-10
264.52,264.52,251.7,255.42,1394579,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-11
255.6,258.0,245.62,248.08,1057065,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-12
250.92,263.78,249.18,262.35,1430460,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-13
270.0,276.91,262.61,275.29,1226250,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-16
272.53,278.82,266.7,276.2,1045891,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-17
276.15,287.24,274.08,274.21,1138038,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-18
272.08,277.77,268.74,274.86,746717,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-19
271.09,278.03,271.09,273.65,680445,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-20
275.69,284.34,273.78,282.87,1008396,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-23
280.5,287.03,279.55,284.71,1000999,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-24
279.68,280.87,272.73,279.54,814219,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-25
281.26,284.27,277.64,281.29,579192,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-27
282.65,283.97,274.56,275.4,1577824,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-11-30
273.84,281.1,270.74,279.53,992024,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-01
276.02,283.0,273.0,282.0,1005838,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-02
283.95,293.52,282.44,289.53,2042317,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-03
280.25,289.9,276.56,279.54,2707412,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-04
278.1,278.17,269.64,273.26,1272029,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-07
270.57,273.91,267.67,272.0,961206,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-08
271.75,277.04,270.24,275.66,921369,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-09
274.0,274.81,271.08,272.13,563099,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-10
269.96,269.96,263.17,265.39,1053908,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-11
269.08,272.0,265.08,265.79,795655,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-14
268.7,268.93,261.43,267.55,563767,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-15
268.44,271.37,265.75,269.92,776245,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-16
271.0,273.65,268.19,272.78,755668,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-17
272.01,273.69,266.56,268.43,2629472,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-18
260.78,269.37,258.0,268.14,756402,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-21
268.11,269.65,262.86,265.09,587244,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-22
267.75,272.53,267.4,268.46,578568,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-23
267.33,268.39,263.93,264.64,271069,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-24
266.61,279.43,265.05,278.17,1039469,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-28
279.9,282.42,275.21,277.34,593321,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-29
276.19,284.84,276.19,282.98,778875,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-30
282.55,288.0,279.83,287.16,631962,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2020-12-31
287.16,289.65,280.09,282.47,1010004,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2021-01-04
282.0,284.57,277.85,280.36,754394,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2021-01-05
282.64,292.6,281.0,291.19,770737,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2021-01-06
292.58,295.63,289.0,292.42,686195,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2021-01-07
292.74,297.59,290.73,294.26,692527,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2021-01-08
290.36,294.74,288.18,290.18,606245,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2021-01-11
291.38,294.82,288.96,294.22,550126,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2021-01-12
294.4,295.05,292.2,294.01,499744,0.0,0.0,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,2021-01-13
