Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
184.63,185.28,179.41,182.12,557153,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-10-26
182.45,182.45,174.75,174.81,1019725,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-10-27
169.0,172.84,167.25,170.73,1167450,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-10-28
175.49,176.98,169.27,173.22,1160273,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-10-29
171.91,179.38,170.14,178.29,1242216,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-10-30
181.0,192.96,180.57,192.67,1337020,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-02
197.0,202.94,195.19,201.45,1445067,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-03
188.05,190.0,178.85,179.19,2792331,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-04
185.0,191.99,183.01,188.47,1427778,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-05
188.47,194.85,187.98,191.46,811844,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-06
205.02,213.0,202.35,205.82,1355017,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-09
205.08,212.8,205.08,209.27,813957,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-10
209.97,210.23,203.47,207.25,484441,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-11
204.56,205.27,198.74,201.92,575790,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-12
205.3,209.48,204.15,207.27,641553,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-13
211.27,217.88,207.84,217.83,1326809,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-16
214.0,216.45,211.28,214.62,649890,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-17
216.0,220.81,214.09,216.25,1109728,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-18
214.47,217.1,209.16,217.0,789509,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-19
222.84,223.89,218.59,219.8,1049673,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-20
223.56,227.81,221.93,226.31,843113,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-23
230.46,240.26,229.0,237.91,1197916,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-24
235.11,235.9,228.36,230.46,762252,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-25
230.19,234.55,230.19,232.91,336729,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-27
231.72,232.0,226.06,226.98,1278941,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-11-30
232.98,236.12,230.68,233.64,806998,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-01
232.6,233.8,228.97,231.4,658346,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-02
231.61,238.51,230.92,236.95,864551,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-03
239.3,245.81,238.6,245.62,789315,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-04
243.45,246.59,241.04,246.48,662589,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-07
244.64,249.59,241.28,243.0,723753,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-08
249.6,249.6,243.98,246.75,886169,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-09
243.76,244.94,239.36,241.98,761878,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-10
240.18,243.58,239.15,240.76,736961,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-11
245.09,245.09,238.52,238.89,655785,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-14
231.73,239.67,231.01,238.98,787660,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-15
240.42,240.42,230.27,232.49,895355,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-16
229.68,232.52,226.6,229.16,1109046,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-17
228.68,229.95,224.7,227.54,1298514,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-18
221.22,231.25,217.39,229.55,784353,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-21
231.05,231.28,223.74,227.39,526717,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-22
229.86,231.99,227.72,230.93,587143,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-23
230.67,233.16,228.95,232.62,213247,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-24
233.41,234.51,226.57,226.99,457077,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-28
227.59,229.37,223.72,226.43,490716,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-29
227.86,231.18,227.5,230.06,332600,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-30
229.73,233.83,228.0,231.91,526020,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2020-12-31
234.0,236.3,224.52,229.65,976086,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-04
229.2,239.43,228.61,235.57,780194,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-05
248.15,262.04,248.15,256.55,2018907,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-06
261.33,267.59,259.05,264.68,1046002,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-07
264.5,266.54,253.48,260.15,720040,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-08
255.15,261.45,255.0,257.45,453059,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-11
259.18,264.09,257.81,262.14,720476,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-12
260.8,261.45,253.64,254.45,692956,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-13
258.77,264.4,255.02,260.37,669465,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-14
256.76,258.42,250.61,255.14,693470,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-15
260.0,266.59,259.56,260.83,779390,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-19
263.8,264.2,258.61,260.2,506931,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-20
260.01,261.79,258.0,259.22,433927,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-21
255.37,259.75,254.5,258.59,489301,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-22
256.51,261.99,251.93,253.52,680932,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-25
257.39,257.59,247.41,248.21,504954,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-26
240.12,241.82,228.22,236.27,1283660,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-27
245.7,257.56,243.0,253.56,1185100,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-28
251.63,251.88,238.55,243.01,1125333,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-01-29
247.92,254.21,245.0,253.28,718082,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-01
257.72,261.94,249.75,250.67,758931,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-02
252.34,255.39,248.07,250.8,520383,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-03
252.79,260.45,251.25,259.83,718203,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-04
261.0,266.67,261.0,265.73,624877,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-05
267.47,274.12,266.73,272.23,750292,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-08
270.04,278.86,267.27,277.28,725982,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-09
279.72,285.03,275.53,276.83,849415,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-10
277.85,282.96,274.58,279.82,649022,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-11
279.8,287.23,279.12,286.22,498396,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-12
290.0,293.47,288.08,288.08,1120273,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-16
286.01,287.32,274.28,277.81,752688,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-17
273.73,275.6,267.42,274.79,767926,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-18
278.08,291.33,278.07,290.01,705579,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-19
288.0,302.7,287.31,298.49,971131,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-22
296.95,308.86,286.42,306.36,1301404,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-23
310.0,321.94,307.78,312.52,1268525,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-24
311.73,312.21,292.0,295.11,1304971,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-25
298.54,301.55,285.0,297.38,1014881,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-02-26
304.11,305.99,299.09,302.49,704056,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-01
304.05,304.05,292.42,293.42,705099,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-02
294.62,302.7,293.08,294.93,650997,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-03
294.55,303.1,282.7,288.6,1194872,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-04
293.12,302.1,282.2,300.96,739450,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-05
303.91,308.14,300.48,302.6,875111,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-08
302.46,304.21,293.55,295.25,731561,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-09
296.73,304.59,296.08,303.06,494497,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-10
305.6,314.1,304.09,310.78,515186,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-11
310.77,319.11,309.06,317.86,592402,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-12
319.08,323.83,311.61,323.48,561884,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-15
322.12,322.12,311.75,314.86,810429,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-16
317.64,324.22,311.0,321.9,531912,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-17
321.9,330.79,317.33,318.12,614096,0.0,0.0,URI,United Rentals,Industrials,Trading Companies & Distributors,2021-03-18
