Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
40.18,40.27,39.38,39.96,6365530,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-10-26
39.63,39.73,38.39,38.41,7009668,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-10-27
37.68,38.03,37.18,37.3,8514549,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-10-28
37.14,38.33,36.57,38.07,6698039,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-10-29
37.99,38.96,37.76,38.95,6268708,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-10-30
39.45,40.12,38.77,39.74,5982299,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-02
40.54,41.09,40.4,40.82,6275010,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-03
39.68,40.28,38.47,39.0,7608083,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-04
38.96,40.65,38.96,40.46,5598993,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-05
40.82,40.93,38.9,39.17,6285503,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-06
42.97,44.99,42.49,44.16,16256200,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-09
44.49,44.49,43.22,44.14,8155601,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-10
44.03,44.15,42.81,43.75,7748131,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-11
42.96,43.2,42.13,42.81,8077284,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-12
43.25,43.59,43.02,43.31,6014242,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-13
44.66,45.04,43.8,44.28,7772562,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-16
43.59,44.34,43.24,44.03,7464229,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-17
44.27,44.76,43.22,43.26,7387107,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-18
42.98,43.3,42.34,43.24,7574781,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-19
43.05,43.17,42.42,42.66,5436060,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-20
43.27,43.37,42.82,43.09,6022275,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-23
44.04,45.43,43.92,45.4,8790774,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-24
44.9,44.9,44.37,44.68,5465404,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-25
44.7,44.74,44.05,44.21,2871804,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-27
44.29,44.58,43.07,43.21,14927345,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-11-30
44.31,44.56,44.0,44.25,6915945,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-01
44.19,44.83,43.96,44.68,5867467,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-02
44.76,45.35,44.44,44.97,6245508,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-03
45.39,45.63,45.04,45.37,6690622,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-04
44.87,45.04,44.39,44.8,7115796,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-07
44.25,45.02,44.15,44.98,5355990,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-08
45.38,46.15,45.24,45.85,9502096,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-09
45.54,46.26,45.35,46.12,7400101,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-10
45.57,45.96,45.32,45.84,5355026,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-11
46.5,46.74,44.7,44.81,5570800,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-14
45.13,45.27,44.5,45.19,5855817,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-15
45.24,45.48,45.0,45.35,5828436,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-16
45.54,45.54,44.8,45.28,6081336,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-17
45.19,45.39,44.47,44.86,15336506,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-18
45.08,45.5,44.21,45.33,10850495,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-21
45.6,46.02,45.24,45.59,8542758,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-22
45.96,46.96,45.84,46.73,6752258,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-23
46.68,46.73,46.02,46.49,1980912,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-24
46.86,47.25,46.54,46.66,4373970,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-28
46.82,46.85,46.09,46.13,4130050,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-29
45.89,46.28,45.82,46.15,3198663,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-30
46.13,46.66,45.88,46.59,3806439,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2020-12-31
46.69,46.9,45.6,46.12,6831014,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-04
46.11,46.61,45.56,46.27,5387714,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-05
47.53,49.63,47.03,49.01,12528639,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-06
49.65,50.93,49.56,49.99,7868225,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-07
50.04,50.23,48.81,49.32,6635826,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-08
48.79,49.45,48.51,49.34,5703812,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-11
49.84,50.1,49.46,49.65,5975432,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-12
49.4,49.88,49.15,49.51,5601848,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-13
49.61,49.79,49.27,49.28,7046069,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-14
48.52,48.81,48.02,48.4,9131990,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-15
48.36,48.67,48.03,48.07,12542860,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-19
47.0,47.45,45.19,45.58,12377881,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-20
45.69,46.08,45.19,45.67,12482495,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-21
45.36,46.2,45.29,45.86,9133944,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-22
45.56,46.05,44.91,45.76,9786643,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-25
46.15,46.19,45.18,45.19,8032146,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-26
44.6,44.75,42.73,42.81,11925529,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-27
43.65,44.1,42.73,43.77,8838795,0.0,0.0,USB,U.S. Bancorp,Financials,Diversified Banks,2021-01-28
