Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
23.92,23.92,23.08,23.39,3002408,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-10-26
23.39,23.59,22.63,22.63,2932282,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-10-27
22.21,22.95,22.13,22.54,3382107,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-10-28
22.61,23.5,22.37,23.25,3180313,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-10-29
23.3,23.35,22.59,22.95,3287321,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-10-30
23.1,23.69,23.02,23.64,2757237,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-02
23.91,24.06,23.7,23.92,2661600,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-03
23.97,24.7,23.83,24.48,6810685,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-04
24.78,24.89,24.08,24.13,3680828,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-05
24.16,24.31,23.83,23.98,1808180,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-06
25.49,25.94,23.78,23.82,9484272,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-09
23.78,25.28,23.75,25.28,6537410,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-10
25.6,25.62,25.02,25.4,3916587,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-11
25.32,25.32,24.6,24.9,2641891,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-12
25.17,25.86,25.13,25.81,7191190,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-13
26.7,26.81,25.84,26.2,3031733,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-16
26.24,26.64,25.64,26.43,5621726,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-17
26.25,26.54,25.78,25.81,7824956,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-18
25.69,26.17,25.26,25.87,6253471,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-19
25.87,26.11,25.7,25.87,4090410,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-20
26.02,26.54,25.93,26.09,7234287,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-23
26.54,26.87,26.04,26.11,5162395,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-24
26.05,26.24,25.37,25.5,3113589,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-25
25.61,25.99,25.46,25.68,1715577,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-27
25.6,26.0,25.16,25.29,11694540,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-11-30
25.46,25.88,25.34,25.52,4799732,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-01
25.49,25.64,25.0,25.31,3887325,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-02
25.26,26.3,25.2,26.06,3266729,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-03
26.34,26.35,25.87,25.91,2325927,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-04
25.79,26.06,25.5,25.7,2931087,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-07
25.66,25.78,25.44,25.58,3828661,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-08
25.71,25.84,25.29,25.44,4858710,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-09
25.37,25.76,25.22,25.43,4951900,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-10
25.27,25.91,25.26,25.65,2842792,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-11
25.76,26.1,25.3,25.38,4377835,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-14
25.4,26.19,25.26,26.11,4565640,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-15
26.35,26.35,25.88,26.05,3088102,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-16
26.25,26.73,25.98,26.6,4662790,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-17
26.67,26.67,25.53,25.79,6258542,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-18
25.43,25.86,25.25,25.7,4051250,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-21
25.46,25.94,25.4,25.93,3339246,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-22
26.12,26.22,25.87,25.91,3401072,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-23
25.91,26.17,25.64,25.88,709863,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-24
25.97,25.97,25.66,25.79,2186799,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-28
25.89,26.05,25.21,25.26,1966048,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-29
25.24,25.71,25.24,25.67,1575294,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-30
25.72,25.72,25.28,25.5,2203991,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2020-12-31
25.52,25.9,24.64,24.65,3977598,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-04
24.62,25.19,24.51,24.97,4456274,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-05
25.19,25.48,24.76,25.03,4643162,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-06
25.07,25.21,24.66,24.9,4135250,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-07
25.11,25.97,25.0,25.67,9358251,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-08
25.3,25.47,24.94,25.34,5759613,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-11
25.5,25.5,25.14,25.23,6876329,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-12
25.17,25.49,25.09,25.27,5683517,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-13
25.44,25.56,25.1,25.32,5406617,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-14
25.21,25.32,24.88,25.16,4200795,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-15
25.26,25.4,24.96,25.37,4248998,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-19
25.63,26.42,25.45,26.37,5036861,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-20
26.51,26.56,25.98,26.25,3030282,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-21
26.27,26.41,26.02,26.39,2980356,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-22
26.36,26.74,26.1,26.25,14374754,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-25
26.49,26.55,25.67,26.07,5342564,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-26
25.79,26.06,24.74,24.75,8317591,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-27
24.86,26.1,24.84,25.85,8350593,0.0,0.0,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2021-01-28
