Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
41.22,41.3,39.21,39.54,4969877,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-10-26
39.12,39.45,38.22,38.26,4945806,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-10-27
37.1,37.67,35.99,36.19,6422084,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-10-28
35.79,37.73,35.44,37.53,5151807,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-10-29
37.21,38.65,36.91,38.61,6603474,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-10-30
39.35,40.3,38.45,39.9,4717286,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-02
40.58,40.69,38.96,39.48,4049922,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-03
39.5,40.11,37.88,38.97,4699046,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-04
39.07,40.27,38.9,39.53,4745204,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-05
39.45,39.9,37.98,38.17,4417044,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-06
44.91,50.91,44.9,50.08,19637591,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-09
51.0,51.06,48.0,49.96,8977529,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-10
50.21,50.83,49.07,49.79,6384139,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-11
48.73,49.99,46.96,47.28,5840016,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-12
47.86,51.39,47.8,50.92,5768863,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-13
56.0,56.0,52.46,55.67,9284420,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-16
52.92,54.29,51.98,54.15,6098214,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-17
54.57,54.7,51.24,51.25,5612602,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-18
49.85,51.45,49.4,51.21,4865095,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-19
51.16,51.86,50.37,50.82,3091538,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-20
51.8,56.17,51.6,56.09,7433847,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-23
58.13,59.92,56.79,58.49,8836001,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-24
57.42,57.79,56.36,56.43,4360081,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-25
55.93,57.2,55.8,56.62,1754959,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-27
55.7,56.39,53.71,53.77,5528132,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-11-30
54.9,55.81,54.27,54.4,4219266,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-12-01
53.69,58.16,53.55,58.07,5344685,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-12-02
58.21,59.16,57.07,57.91,4075978,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-12-03
59.17,61.67,59.06,61.27,5288186,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-12-04
60.66,60.87,59.07,59.46,4741172,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-12-07
58.5,60.09,58.35,58.98,4597470,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-12-08
60.0,61.32,57.72,58.8,4504589,0.0,0.0,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,2020-12-09
