Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
209.75,210.54,204.84,207.15,2087483,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-10-26
208.35,213.58,206.79,212.19,2756330,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-10-27
212.0,214.24,208.25,208.34,2221370,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-10-28
209.01,210.38,205.0,207.01,1931045,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-10-29
205.93,211.64,203.51,208.36,2829604,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-10-30
211.14,211.45,202.56,207.42,1877706,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-11-02
208.92,214.88,208.0,211.14,1892048,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-11-03
218.27,223.77,214.22,215.09,3778577,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-11-04
220.08,220.92,216.22,219.48,2347518,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-11-05
219.12,221.72,216.36,220.28,1707943,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-11-06
224.41,229.08,221.5,222.85,2478342,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-11-09
223.77,224.74,215.06,215.35,1917814,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-11-10
217.12,218.8,213.65,216.72,1647432,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-11-11
217.05,221.32,216.9,218.31,2144061,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-11-12
222.28,227.27,219.64,225.52,1695453,0.0,0.0,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2020-11-13
