Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
57.52,57.85,56.97,57.81,15395701,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-10-26
57.7,57.85,57.31,57.38,12425522,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-10-27
56.92,57.35,56.12,56.31,18899228,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-10-28
56.16,57.31,56.02,56.76,19380212,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-10-29
56.6,57.07,56.37,56.99,17741498,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-10-30
57.67,58.2,57.0,57.7,16696173,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-02
57.81,58.38,57.51,57.75,10859215,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-03
57.19,57.85,56.58,57.22,21066950,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-04
58.01,58.97,57.8,58.15,20492809,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-05
58.08,58.75,58.01,58.53,12183958,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-06
60.04,60.58,59.51,59.84,24953300,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-09
60.28,61.41,60.2,61.1,22468345,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-10
61.29,61.35,60.47,61.0,12388768,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-11
60.91,61.01,60.34,60.79,13560932,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-12
60.63,61.19,60.38,61.06,10783407,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-13
60.81,61.46,60.7,60.89,14635102,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-16
60.56,61.02,60.36,60.75,11945522,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-17
61.13,61.15,60.3,60.32,12009634,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-18
60.4,60.44,59.9,60.21,12799557,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-19
60.21,60.33,59.94,60.04,14837332,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-20
60.01,60.39,60.0,60.23,11826035,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-23
60.6,60.8,60.36,60.64,15812430,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-24
60.67,60.74,60.33,60.41,10780985,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-25
60.52,60.74,60.41,60.58,5763683,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-27
60.32,60.6,60.18,60.41,22001971,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-11-30
60.43,60.92,60.28,60.58,14520466,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-01
61.4,61.95,61.01,61.36,14483594,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-02
61.11,61.83,61.04,61.74,12184259,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-03
61.54,61.8,61.26,61.55,10730420,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-04
61.52,61.7,61.18,61.35,12791102,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-07
61.18,61.7,60.88,61.45,13663292,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-08
61.45,61.82,61.09,61.46,15189631,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-09
61.26,61.35,60.33,60.51,15723836,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-10
60.08,60.53,59.97,60.35,13922830,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-11
60.61,61.06,59.77,59.98,15929686,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-14
60.07,60.74,59.97,60.55,16096772,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-15
60.2,60.45,59.66,59.91,17444254,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-16
59.98,60.15,59.61,60.01,12384062,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-17
60.0,60.78,59.79,60.46,34818331,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-18
60.06,60.13,59.28,59.49,18849875,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-21
59.32,59.42,58.86,58.99,13184917,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-22
59.2,59.28,58.88,58.96,14193350,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-23
59.0,59.07,58.66,58.84,7751101,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-24
59.16,59.18,58.65,58.98,15566063,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-28
59.03,59.24,58.64,58.81,15879875,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-29
58.83,58.94,58.06,58.14,18414297,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-30
58.06,58.8,58.02,58.75,13061246,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2020-12-31
58.96,59.14,58.44,58.85,19488898,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2021-01-04
58.86,59.09,58.46,58.58,16421399,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2021-01-05
58.81,59.54,58.54,59.29,22983683,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2021-01-06
58.27,58.76,58.08,58.53,19454819,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2021-01-07
58.23,58.36,57.37,57.8,28730568,0.0,0.0,VZ,Verizon,Communication Services,Integrated Telecommunication Services,2021-01-08
