Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
61.19,61.3,59.09,60.27,920342,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-10-26
60.01,60.15,58.51,58.61,1014148,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-10-27
57.0,57.78,55.83,56.17,2897118,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-10-28
59.4,59.6,56.17,58.75,3278851,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-10-29
58.62,60.0,58.0,59.3,1792654,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-10-30
60.45,62.03,59.9,61.68,1783570,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-02
62.71,66.23,62.29,65.62,1716966,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-03
64.77,64.85,61.71,61.71,2213002,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-04
62.55,63.95,62.2,62.4,1797897,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-05
62.23,62.59,60.95,61.13,2427968,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-06
66.54,76.11,64.87,68.61,4986700,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-09
68.93,69.69,67.98,69.01,3513664,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-10
69.54,69.54,67.17,68.11,1043202,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-11
67.27,68.47,67.01,67.93,1393679,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-12
68.86,70.09,68.53,69.59,1976174,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-13
72.5,72.9,70.89,71.57,2389612,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-16
70.44,71.8,69.94,71.39,1277795,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-17
71.69,73.29,71.27,72.63,1688209,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-18
71.97,72.56,71.16,72.35,1045178,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-19
72.04,72.28,70.4,70.98,1059926,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-20
71.36,73.56,71.3,73.55,816963,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-23
74.57,77.22,74.21,76.21,2293842,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-24
75.43,75.61,73.93,74.09,730378,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-25
73.73,74.43,73.25,73.82,701143,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-27
73.3,73.63,72.39,73.3,1522424,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-11-30
74.8,74.84,72.2,72.3,1626170,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-01
72.0,72.78,71.74,72.58,777776,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-02
73.02,73.53,72.52,73.13,787975,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-03
73.85,75.63,73.85,75.53,1042813,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-04
75.48,75.88,74.7,75.68,1559246,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-07
75.56,76.87,75.47,76.51,1728411,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-08
76.55,77.17,75.67,76.5,1157222,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-09
75.82,76.5,75.21,75.4,1169677,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-10
75.0,75.49,74.36,74.85,745848,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-11
75.48,76.0,73.21,73.26,1257050,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-14
74.15,74.99,73.8,74.69,1575113,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-15
74.74,74.8,73.19,73.65,1106589,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-16
74.38,74.38,72.74,73.53,1195913,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-17
73.5,73.82,72.51,73.44,1930485,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-18
71.74,73.19,71.56,73.0,917200,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-21
73.0,73.2,71.87,72.21,801643,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-22
72.49,73.23,71.47,72.86,961388,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-23
73.3,73.42,72.13,73.31,218199,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-24
73.73,74.0,72.52,72.59,636207,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-28
73.03,73.16,71.25,72.17,837357,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-29
72.55,73.07,72.06,72.4,698801,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-30
72.71,73.45,71.99,73.2,723855,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2020-12-31
73.45,74.22,72.34,72.65,1597963,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-04
72.23,74.68,72.23,73.56,1227543,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-05
74.92,79.79,74.7,79.15,2074868,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-06
79.19,82.25,79.15,81.94,1761991,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-07
82.11,82.72,80.58,81.23,1378336,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-08
80.59,81.93,80.23,81.67,1157969,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-11
82.04,84.31,81.34,83.58,1479594,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-12
83.58,84.32,82.19,82.7,1229788,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-13
83.12,83.9,82.5,83.7,1058467,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-14
83.29,83.29,80.48,81.9,1041177,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-15
82.68,83.6,81.62,81.63,1082838,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-19
82.12,82.2,80.98,81.28,795196,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-20
80.79,81.71,80.41,80.86,818237,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-21
80.34,80.79,79.52,80.47,706180,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-22
80.07,80.64,78.9,79.13,1203444,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-25
79.99,80.1,76.64,76.81,1060013,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-26
75.43,75.98,73.44,74.57,1239696,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-27
75.37,76.36,74.34,74.86,1078245,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-28
74.75,75.5,73.41,74.21,1118621,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-01-29
75.28,76.5,74.78,76.27,840849,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-01
76.92,79.16,76.75,78.26,944420,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-02
77.9,79.48,77.44,79.07,789000,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-03
79.44,81.1,79.27,80.47,1041872,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-04
81.17,81.34,79.89,80.59,797856,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-05
81.18,82.78,80.76,82.54,950433,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-08
82.22,82.53,81.12,81.99,753875,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-09
82.25,83.99,81.62,83.05,1061380,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-10
83.16,83.16,79.26,81.04,1216343,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-11
80.5,80.68,79.48,80.53,1136535,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-12
81.39,81.7,79.24,80.42,1440687,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-16
80.18,80.18,78.21,79.35,1043105,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-17
76.07,76.98,71.05,72.06,3187914,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-18
72.56,75.36,72.47,73.96,2004465,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-19
73.27,75.81,72.78,74.13,1587022,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-22
73.92,75.09,71.82,74.54,1325209,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-23
74.4,75.4,74.0,74.74,2128746,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-24
74.86,74.92,71.67,72.53,1642040,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-25
72.35,73.09,71.45,72.43,1388027,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-02-26
73.23,75.31,72.99,74.87,2264786,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-01
75.13,75.9,74.47,74.77,1786062,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-02
74.6,75.42,74.1,74.4,1672366,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-03
74.21,74.45,71.21,72.46,1140941,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-04
73.64,74.96,72.0,74.58,1011206,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-05
75.19,75.82,74.31,74.37,3528937,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-08
74.65,75.25,72.86,72.98,2028671,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-09
73.29,76.73,73.06,76.25,1774615,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-10
76.56,78.92,76.45,77.36,1437570,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-11
77.31,78.36,76.92,78.08,999433,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-12
78.1,78.5,76.54,77.6,740496,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-15
77.36,77.49,76.25,76.43,811404,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-16
76.47,77.8,76.05,76.8,1740330,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-17
76.76,78.37,76.17,76.18,1595241,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-18
75.56,76.53,74.66,75.65,2216381,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-19
75.52,75.61,73.43,74.47,2147276,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-22
74.33,75.8,73.61,74.01,2028413,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-23
74.9,77.28,74.72,76.04,1407973,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2021-03-24
