Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
22.97,23.02,22.6,22.7,34385886,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-10-26
22.61,22.61,21.82,21.82,50126553,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-10-27
21.23,21.48,20.8,21.18,55557063,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-10-28
21.05,21.38,20.76,21.14,46666587,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-10-29
21.1,21.46,20.84,21.45,34840378,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-10-30
21.7,21.98,21.19,21.9,38736703,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-02
22.31,22.5,21.99,22.09,38760253,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-03
21.75,22.56,21.17,21.88,47593708,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-04
21.89,22.57,21.86,22.33,38757574,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-05
22.5,22.57,21.84,21.91,29837988,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-06
24.03,24.87,23.3,24.22,104422058,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-09
24.36,24.37,23.86,24.19,49692435,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-10
24.23,24.54,24.0,24.19,38650599,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-11
23.91,24.14,23.56,23.81,35140935,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-12
23.91,24.18,23.73,24.07,30425494,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-13
24.99,25.03,24.39,24.9,37665752,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-16
24.53,25.15,24.52,25.04,29919102,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-17
25.15,25.95,25.06,25.06,44793789,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-18
25.19,26.22,24.97,26.16,44903344,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-19
26.04,26.23,25.46,25.48,39326967,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-20
25.95,26.44,25.87,26.3,41070051,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-23
27.46,28.73,27.34,28.61,82335787,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-24
28.33,28.69,28.0,28.59,39220299,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-25
28.59,28.63,28.18,28.46,20281442,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-27
28.43,28.56,27.28,27.35,49048147,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-11-30
28.15,28.68,28.04,28.06,42796708,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-01
27.99,28.99,27.84,28.87,35830797,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-02
28.94,29.49,28.79,29.16,41579150,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-03
29.5,29.97,29.34,29.55,47713761,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-04
29.42,29.63,29.07,29.34,32404052,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-07
29.03,29.3,28.4,28.94,32766035,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-08
29.24,29.24,28.61,29.05,35733214,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-09
28.72,29.56,28.54,29.49,32306536,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-10
29.02,29.39,28.67,29.08,30074191,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-11
29.54,29.78,28.51,28.64,28732186,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-14
29.13,29.77,28.9,29.73,39602154,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-15
29.64,29.9,29.48,29.65,35668179,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-16
29.8,29.9,29.44,29.47,43036904,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-17
29.47,29.62,28.8,29.01,56823812,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-18
29.57,29.89,28.84,29.55,53509942,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-21
29.65,29.72,28.94,28.96,26168117,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-22
29.28,30.49,29.27,30.35,38664954,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-23
30.29,30.38,29.66,29.84,14443728,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-24
30.08,30.48,29.9,29.93,21986364,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-28
30.15,30.17,29.75,29.78,19834115,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-29
29.8,30.04,29.65,29.75,18763796,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-30
29.75,30.24,29.67,30.18,21274436,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2020-12-31
30.32,30.44,29.4,29.7,31857876,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-04
30.09,30.95,29.82,30.53,37930721,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-05
31.9,33.0,31.79,32.69,74433312,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-06
33.58,34.2,33.32,33.43,51754550,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-07
33.61,33.65,32.67,33.19,32931823,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-08
32.64,33.56,32.32,33.24,34200961,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-11
34.0,34.52,33.66,33.94,59796191,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-12
33.82,34.26,33.63,33.8,36346947,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-13
34.07,35.1,34.01,34.75,56431270,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-14
33.08,33.5,31.82,32.04,94026878,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-15
32.41,33.04,32.28,32.63,44706835,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-19
32.78,32.83,32.3,32.46,30416591,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-20
32.32,32.43,31.92,32.0,28639163,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-21
31.34,32.06,31.15,31.9,24869676,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-22
31.88,32.35,31.62,32.24,29032691,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-25
32.49,32.53,31.36,31.38,28277325,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-26
30.92,31.03,29.92,30.17,45626457,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-27
30.52,31.05,30.31,30.81,29187043,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-28
30.77,31.19,29.82,29.88,39853393,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-01-29
30.14,30.22,29.68,29.99,24039430,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-02-01
30.46,31.19,30.38,30.75,25646391,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-02-02
30.72,31.77,30.61,31.7,28868599,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-02-03
31.86,32.85,31.8,32.66,31240444,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-02-04
33.0,33.18,32.51,32.56,25447445,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-02-05
32.78,33.57,32.71,33.4,29490266,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-02-08
33.21,33.4,32.91,33.26,23890080,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-02-09
33.48,33.69,33.09,33.2,22920035,0.0,0.0,WFC,Wells Fargo,Financials,Diversified Banks,2021-02-10
