Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
115.79,116.02,112.81,113.4,1414358,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-10-26
112.02,112.61,110.35,110.63,2524313,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-10-27
109.22,109.82,106.75,106.96,1929745,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-10-28
107.38,108.61,106.11,107.55,2105154,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-10-29
107.36,108.33,106.22,107.91,1954374,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-10-30
109.08,111.9,108.9,110.67,2109293,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-02
112.2,115.13,112.2,114.71,2399543,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-03
114.16,118.17,114.16,116.05,2029737,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-04
117.99,120.6,117.06,119.69,2714972,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-05
120.0,120.36,118.91,119.28,1357397,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-06
123.49,125.56,120.75,120.96,2465371,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-09
120.9,123.74,120.16,123.38,2001235,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-10
123.42,123.74,122.26,122.8,1048921,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-11
122.45,122.84,120.69,121.09,1239086,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-12
122.01,122.6,121.3,121.92,892691,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-13
122.47,123.19,121.04,121.99,1748721,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-16
121.37,121.67,120.61,121.3,1656080,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-17
122.14,122.75,120.47,120.53,1239620,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-18
120.15,121.09,118.88,120.58,1201854,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-19
121.03,121.21,119.99,120.35,1013937,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-20
120.84,121.01,119.58,120.11,964763,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-23
120.76,121.54,120.05,120.43,1468069,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-24
120.0,120.1,118.67,119.64,1447927,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-25
119.83,119.98,118.87,119.19,616089,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-27
118.65,119.88,118.29,119.13,1601112,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-11-30
120.17,120.6,119.27,119.64,1569683,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-01
119.34,119.74,116.62,117.13,1646329,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-02
116.6,117.93,116.2,117.14,1650462,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-03
116.8,117.67,116.8,117.54,1664476,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-04
117.54,117.91,116.46,116.77,1216315,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-07
115.92,117.27,115.78,116.75,1275866,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-08
117.28,117.28,115.6,116.58,1635861,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-09
116.14,116.65,114.71,114.94,1689630,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-10
114.83,116.16,114.16,115.41,1453948,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-11
115.97,116.84,114.73,114.78,1252066,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-14
116.03,116.82,115.56,116.78,1512669,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-15
116.65,117.13,115.88,116.08,1024375,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-16
116.54,118.34,116.36,117.51,1927961,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-17
117.84,118.63,116.92,117.41,3544918,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-18
116.49,116.7,114.17,116.51,1435741,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-21
116.79,118.02,115.97,117.92,1732291,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-22
117.81,118.31,116.23,116.25,982708,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-23
116.46,117.02,116.21,117.0,466056,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-24
117.5,118.29,116.7,118.09,1194829,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-28
118.5,118.9,116.53,116.82,890288,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-29
116.87,117.46,116.46,116.93,748622,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-30
116.57,118.06,116.48,117.93,910517,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2020-12-31
118.0,118.07,114.26,114.83,1758590,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-04
114.51,115.42,114.05,115.21,1355689,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-05
115.8,118.44,115.21,117.76,1657137,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-06
117.5,118.39,116.88,118.05,1866147,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-07
118.39,118.95,117.23,118.6,1384325,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-08
117.6,118.12,116.66,117.04,1584818,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-11
117.2,117.64,115.52,116.4,1513757,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-12
116.13,116.84,115.61,116.21,1468803,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-13
116.63,116.76,114.43,114.64,1632763,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-14
114.25,115.5,114.1,114.72,3950874,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-15
115.56,116.33,114.78,115.01,1685143,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-19
115.07,115.85,114.83,115.05,1947002,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-20
114.92,115.2,112.97,114.58,2289905,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-21
114.44,115.8,113.82,115.36,2010719,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-22
115.36,116.02,113.95,114.19,1568356,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-25
114.51,114.54,113.66,113.95,1707884,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-26
113.0,113.23,110.15,110.96,2535198,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-27
111.5,114.46,111.3,112.11,1977825,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-28
111.71,112.64,110.45,111.32,1928162,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-01-29
111.89,112.59,111.16,112.09,1266306,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-01
112.91,113.91,112.59,113.0,1631181,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-02
112.89,113.29,112.05,112.22,1377903,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-03
112.18,113.5,111.88,113.08,1233696,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-04
113.59,114.6,113.32,113.73,1445808,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-05
114.08,114.75,113.65,114.38,1649340,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-08
114.38,114.77,113.46,113.55,1174595,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-09
114.25,114.42,112.44,113.69,1761314,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-10
114.0,114.15,112.89,113.22,1318550,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-11
112.84,113.34,112.37,113.25,1151056,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-12
112.23,113.79,112.12,112.6,2159453,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-16
112.16,112.82,111.93,112.21,2131581,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-17
111.12,113.64,111.09,113.43,3700644,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-18
113.55,113.55,110.86,111.63,3022262,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-19
111.15,111.24,109.24,110.56,3340138,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-22
110.35,112.51,109.11,109.92,2940476,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-23
110.33,111.97,110.0,111.87,3116218,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-24
111.6,113.49,111.6,112.27,2601870,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-25
112.7,113.73,110.71,110.89,2636400,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-02-26
111.67,113.17,111.67,112.48,1987658,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-01
112.34,114.5,111.83,114.33,3295646,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-02
114.33,114.8,113.34,113.97,2865419,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-03
114.3,116.76,114.05,115.52,3834467,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-04
115.59,119.03,115.59,118.68,3327039,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-05
118.95,122.97,118.72,121.73,3157017,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-08
121.18,122.25,119.6,119.6,2307912,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-09
119.85,122.27,118.93,121.69,2668729,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-10
121.06,121.06,119.28,120.0,2004105,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-11
120.5,121.93,120.16,121.79,1798607,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-12
121.11,122.63,120.64,122.62,1635076,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-15
122.71,123.14,122.2,122.91,1570275,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-16
123.33,123.33,118.47,118.99,3869369,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-17
119.18,122.02,118.94,121.9,2123789,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-18
122.2,122.74,120.82,121.57,3897227,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-19
121.86,123.53,121.14,123.37,2143879,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-22
123.26,124.81,122.76,124.1,2011557,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-23
123.79,125.91,123.37,124.82,2109923,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-24
125.43,127.56,124.42,127.43,2968906,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-25
127.34,129.97,127.11,129.8,2289502,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-26
128.99,131.38,128.95,130.34,2428468,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-29
129.8,130.46,128.84,129.28,2088701,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-30
128.79,129.94,128.75,129.02,1860672,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-03-31
129.25,130.08,127.94,129.28,1334691,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-01
129.81,131.17,129.7,130.99,1621825,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-05
131.38,132.54,130.73,131.6,1839829,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-06
132.81,133.23,132.03,132.41,1741176,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-07
132.31,133.05,132.1,132.84,1587715,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-08
133.07,134.69,132.87,134.68,1640250,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-09
134.86,135.46,134.06,134.47,1844403,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-12
133.4,134.9,133.15,134.46,1431664,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-13
134.35,134.49,133.73,133.88,1227550,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-14
134.04,134.9,134.04,134.52,1324004,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-15
135.22,135.59,134.53,135.05,1469887,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-16
134.55,134.95,133.8,134.43,1545229,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-19
134.29,135.35,133.96,134.87,1428432,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-20
134.99,136.35,134.85,135.56,1203009,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-21
135.57,135.97,134.49,134.75,1635507,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-22
134.84,135.86,134.41,135.5,1110064,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-23
135.0,135.83,133.89,133.93,1534043,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-26
134.46,136.0,133.84,135.06,1774413,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-27
135.59,136.57,135.03,136.23,1407156,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-28
136.87,137.83,136.8,137.18,1754907,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-29
136.98,138.56,136.79,137.97,1761081,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-04-30
138.72,140.68,138.46,140.34,1434117,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-03
140.21,141.31,140.0,140.88,1601894,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-04
141.09,141.9,140.11,141.64,1430599,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-05
141.87,142.4,141.21,141.48,1460475,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-06
141.22,142.15,140.76,141.38,1603228,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-07
142.06,144.54,142.05,143.26,1834681,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-10
142.89,143.46,140.66,141.2,1822037,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-11
140.92,141.01,138.12,138.18,1461410,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-12
138.7,141.96,138.36,141.42,1294390,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-13
141.85,142.91,141.53,141.94,996134,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-14
141.75,142.61,140.6,141.51,1515396,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-17
141.03,141.91,140.44,140.47,1699603,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-18
139.95,139.95,137.62,139.15,1339802,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-19
139.37,141.04,139.01,140.43,1048904,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-20
141.17,141.83,140.16,140.97,1639883,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-21
141.62,142.0,141.02,141.11,1163334,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-24
140.94,141.3,140.45,140.69,1583486,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-25
140.18,140.76,139.51,139.77,1275594,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-26
140.29,140.83,139.21,140.55,2220142,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-27
141.29,141.55,140.64,140.68,948906,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-05-28
141.42,141.48,139.95,140.07,1150715,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-01
140.31,141.24,139.8,141.12,1369753,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-02
140.49,141.2,139.97,140.58,905014,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-03
140.97,141.22,140.02,140.75,657464,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-04
140.7,140.99,139.37,139.57,1112511,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-07
139.79,140.0,138.86,139.34,1128803,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-08
139.18,139.87,139.01,139.58,906611,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-09
139.96,140.2,139.55,139.93,951402,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-10
140.31,140.42,139.19,139.91,1273687,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-11
139.91,140.27,139.27,140.25,832376,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-14
140.18,141.11,139.42,140.86,946125,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-15
141.5,141.5,139.41,139.82,1418996,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-16
139.63,139.88,138.33,139.3,1228731,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-17
138.07,138.59,136.97,137.07,2946201,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-18
137.8,139.4,137.63,139.36,1493304,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-21
139.29,140.04,139.11,139.67,1063901,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-22
139.53,139.53,138.5,138.52,952991,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-23
138.99,139.21,138.08,138.54,1089279,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-24
138.28,139.48,138.28,139.11,1570869,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-25
139.06,139.48,138.44,139.18,1035804,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-28
139.17,139.77,138.87,139.46,1159324,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-29
139.41,140.34,139.16,140.11,1228723,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-06-30
141.7,141.7,140.64,141.17,1342439,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-01
141.15,142.66,140.88,141.97,1489194,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-02
142.38,142.86,141.07,142.77,1229985,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-06
142.77,144.74,142.38,144.04,1651013,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-07
142.99,143.27,141.82,142.17,1351791,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-08
142.94,143.37,142.17,143.04,908161,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-09
142.98,143.68,142.57,143.11,1111657,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-12
143.5,143.72,142.22,142.52,1217442,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-13
142.85,144.09,142.61,143.99,863480,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-14
143.46,145.51,143.45,145.36,1236686,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-15
145.9,146.92,145.72,145.8,1169352,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-16
144.99,145.51,142.24,143.63,1985921,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-19
143.95,146.39,143.91,145.17,1687125,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-20
145.56,145.96,144.59,144.85,995712,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-21
145.1,145.29,144.24,144.98,1087103,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-22
145.03,146.85,145.03,146.39,924294,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-23
146.2,147.02,145.73,146.69,1269096,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-26
148.21,149.95,146.76,146.96,1919048,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-27
147.26,147.26,145.36,145.67,1244940,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-28
146.65,147.26,146.14,146.21,943656,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-29
146.13,148.64,146.13,148.26,1388409,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-07-30
148.7,149.15,146.61,147.27,928519,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-02
147.44,149.47,147.28,149.41,1344660,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-03
149.16,150.83,148.73,148.86,1553765,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-04
149.17,149.76,147.74,148.33,1135911,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-05
148.33,149.4,147.51,147.84,1201707,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-06
147.81,148.3,146.93,147.23,1055660,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-09
147.0,148.0,146.74,146.98,1273687,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-10
147.73,149.2,147.63,149.13,1224183,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-11
149.0,150.3,148.85,150.08,1356881,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-12
150.47,151.15,149.89,150.61,906352,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-13
150.67,152.0,150.2,151.93,1141349,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-16
151.97,152.41,150.86,151.7,1295226,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-17
151.26,151.69,149.44,149.56,1366236,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-18
148.37,151.96,148.37,151.62,1345656,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-19
151.65,153.29,151.26,152.94,1404550,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-20
153.26,153.41,151.71,151.76,1337573,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-23
151.76,152.56,151.27,152.39,1249727,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-24
152.46,153.2,151.92,152.83,1080330,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-25
153.0,153.9,152.6,153.6,888877,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-26
154.21,154.65,153.67,154.15,1061169,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-27
154.16,155.4,154.09,155.13,658547,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-30
155.34,155.62,154.32,155.11,1732596,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-08-31
154.55,156.32,154.19,155.85,1533162,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-09-01
155.9,156.6,155.23,155.81,1711002,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-09-02
156.0,156.19,155.32,155.4,1419350,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-09-03
155.08,155.35,153.08,153.26,1597019,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-09-07
153.0,154.9,152.73,154.24,1811643,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-09-08
154.38,154.56,153.55,153.8,1383715,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-09-09
154.15,154.9,153.58,154.45,1249947,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-09-10
155.49,156.74,154.19,155.13,1998100,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-09-13
155.52,156.12,154.25,154.58,1068818,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-09-14
154.55,156.34,154.17,155.63,1078314,0.0,0.0,WM,Waste Management,Industrials,Environmental & Facilities Services,2021-09-15
