Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
28.89,28.92,28.18,28.36,1447142,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-10-26
28.36,28.39,27.29,27.31,1520676,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-10-27
26.91,27.49,26.91,26.99,1805843,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-10-28
26.91,27.6,26.62,27.13,2171560,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-10-29
27.04,27.36,26.49,26.72,2214117,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-10-30
27.24,27.6,27.0,27.56,2212391,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-02
28.06,28.44,27.96,28.24,1904069,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-03
27.73,28.52,27.55,27.72,2495871,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-04
27.84,28.47,27.78,27.96,1450865,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-05
28.13,28.24,27.55,27.59,1518635,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-06
29.57,31.06,29.56,30.76,3191904,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-09
30.89,31.54,30.7,31.37,2289915,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-10
31.48,31.48,30.82,31.09,1667383,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-11
30.7,30.78,30.06,30.32,1065958,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-12
30.54,30.84,30.33,30.61,1061786,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-13
31.39,31.46,30.91,31.32,1146460,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-16
30.96,31.22,30.65,31.16,1210777,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-17
31.26,31.4,30.62,30.63,1390860,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-18
30.35,30.35,29.39,29.72,3767443,0.0,0.0,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2020-11-19
