Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
48.88,49.39,47.53,48.4,1210808,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-10-26
48.56,48.7,48.02,48.08,812682,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-10-27
47.06,48.32,46.52,47.36,1645298,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-10-28
47.34,48.2,47.0,47.11,1759110,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-10-29
46.82,47.01,44.95,45.6,2377114,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-10-30
46.08,46.85,45.16,46.06,1771124,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-02
46.59,48.38,46.29,48.12,1850130,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-03
48.24,49.84,48.24,49.4,2121610,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-04
50.04,51.06,49.28,49.48,2194238,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-05
49.58,50.08,48.95,49.9,1588676,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-06
48.66,48.66,43.97,44.91,6470864,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-09
44.8,47.02,44.16,45.48,2839000,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-10
46.0,48.07,45.38,47.89,2528524,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-11
47.22,48.22,45.86,46.18,2550628,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-12
46.54,47.22,45.79,46.78,2215780,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-13
46.65,48.0,45.56,47.96,3057674,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-16
47.39,48.92,47.16,48.3,2423764,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-17
48.46,49.16,48.26,48.58,2735382,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-18
49.14,50.84,48.96,50.52,5154378,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-19
55.84,57.0,52.56,53.86,11444328,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-20
53.65,56.72,53.3,56.29,4297748,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-23
57.12,57.32,55.74,56.48,2425592,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-24
56.71,57.0,54.84,56.0,1954678,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-25
55.87,57.0,54.56,54.97,1163332,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-27
54.76,54.91,52.92,54.74,3030736,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-11-30
55.26,55.84,54.68,55.37,2054244,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-01
54.98,55.47,54.39,55.08,1212548,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-02
54.9,56.48,54.76,55.56,2102750,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-03
55.72,56.09,55.1,55.89,2092116,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-04
55.8,56.06,52.83,53.18,2947522,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-07
52.63,54.15,52.62,53.78,1646420,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-08
54.18,54.56,52.59,54.1,2258734,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-09
53.48,53.94,51.84,52.44,2848670,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-10
52.34,52.94,51.85,52.5,2284018,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-11
52.83,53.67,52.67,53.5,2181548,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-14
53.91,55.25,53.42,55.22,1917616,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-15
55.67,56.46,54.87,56.18,1950280,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-16
56.5,57.07,55.92,56.45,1428340,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-17
56.7,56.77,54.65,54.82,3288978,0.0,0.0,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,2020-12-18
