Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
228.78,235.94,226.4,232.62,1124440,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-10
232.79,234.68,228.89,233.96,1196212,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-11
234.34,235.0,232.48,233.77,813452,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-12
234.43,235.02,230.03,231.21,953316,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-13
230.35,233.37,223.82,229.12,1676002,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-14
228.39,229.29,221.8,227.16,1429318,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-18
227.03,230.67,224.91,226.56,1358323,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-19
230.08,231.4,226.56,228.24,999401,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-20
229.06,231.63,224.72,225.64,1099293,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-21
224.25,232.09,221.2,230.84,1826065,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-24
226.16,233.04,222.17,226.65,1462869,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-25
227.24,233.04,223.64,225.55,1371109,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-26
227.69,228.03,220.87,222.99,1202078,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-27
222.99,231.36,220.78,231.09,756256,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-28
228.75,234.73,228.69,233.96,872733,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-01-31
233.2,236.7,231.71,236.11,729319,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-02-01
235.85,238.61,234.5,237.86,1145818,0.0,0.0,WTW,Willis Towers Watson,Financials,Insurance Brokers,2022-02-02
