Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
70.67,71.77,70.38,71.69,1695100,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-10-26
71.97,73.12,71.46,72.33,2564824,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-10-27
71.56,72.49,70.16,70.26,2679507,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-10-28
69.97,71.52,68.9,70.74,3221391,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-10-29
70.18,70.95,69.31,70.03,2393885,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-10-30
71.05,72.5,70.25,71.78,2674077,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-02
72.21,74.05,72.21,72.98,2471613,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-03
73.88,74.61,72.58,72.72,2283807,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-04
73.76,74.87,73.27,73.73,2012084,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-05
74.24,74.4,73.17,73.31,1454596,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-06
75.38,76.44,73.32,73.43,2840420,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-09
73.13,74.06,72.9,73.73,2364636,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-10
74.35,75.64,73.58,74.69,2085970,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-11
74.08,74.58,73.16,73.76,2104505,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-12
74.12,74.49,73.7,74.08,1217648,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-13
74.3,74.8,73.54,74.71,1960204,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-16
74.4,74.77,72.52,72.63,2317306,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-17
73.14,73.17,70.46,70.5,2199141,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-18
70.48,70.59,68.5,69.35,3894205,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-19
69.3,70.01,69.01,69.31,2362920,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-20
69.68,69.68,67.8,68.36,4370177,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-23
68.61,68.95,67.39,68.14,4927939,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-24
68.18,68.7,67.39,68.11,4447591,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-25
68.32,68.33,67.18,67.62,1949913,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-27
67.61,67.97,67.0,67.36,6760362,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-11-30
67.62,69.18,67.6,68.41,3937410,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-12-01
68.18,68.86,67.33,68.68,3627006,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-12-02
68.31,68.58,67.02,67.31,2216495,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-12-03
67.17,67.54,65.41,65.75,2265507,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-12-04
65.78,66.86,65.61,66.61,2167032,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-12-07
66.26,66.69,65.79,66.04,1967178,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-12-08
66.01,66.26,65.09,65.56,2076430,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-12-09
65.71,65.89,64.85,65.18,2045215,0.0,0.0,XEL,Xcel Energy,Utilities,Multi-Utilities,2020-12-10
