Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
33.61,33.77,32.95,33.35,31381106,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-10-26
33.15,33.2,32.7,32.82,27447265,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-10-27
32.1,32.38,31.52,31.57,42825645,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-10-28
31.41,33.13,31.11,32.97,39467185,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-10-29
32.41,33.14,32.01,32.62,48404067,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-10-30
33.14,34.46,32.57,33.99,40631923,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-02
34.49,34.49,33.13,33.41,37087574,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-03
33.27,34.14,32.53,33.23,35886826,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-04
33.37,33.92,33.14,33.17,31338228,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-05
33.1,33.66,32.62,32.78,34420122,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-06
36.42,38.01,36.06,36.93,79312023,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-09
37.05,37.43,35.98,36.86,49877774,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-10
37.09,37.12,36.19,36.48,34622772,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-11
35.86,36.29,34.87,35.23,31225463,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-12
35.4,36.25,35.38,36.08,29586343,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-13
37.59,38.17,37.1,38.16,39680139,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-16
37.81,38.7,37.38,38.67,27148418,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-17
39.02,39.12,37.2,37.21,31568805,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-18
36.86,37.5,36.56,37.4,27503585,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-19
37.35,37.41,36.78,36.94,19063852,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-20
37.5,39.43,37.28,39.36,29773603,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-23
40.51,42.08,40.22,41.98,47948056,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-24
41.67,41.71,40.65,40.81,28673539,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-25
40.7,40.94,39.86,40.19,14971948,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-27
39.8,39.88,37.97,38.13,46116570,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-11-30
38.96,39.65,38.47,38.5,32974069,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-01
38.39,40.42,38.34,39.94,29679186,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-02
40.07,40.64,39.73,40.21,27392797,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-03
40.77,41.76,40.65,41.68,29194104,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-04
41.42,41.54,40.67,40.9,25699574,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-07
40.53,42.59,40.44,42.24,33245641,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-08
42.71,43.73,42.38,42.8,38393622,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-09
43.2,44.47,42.76,44.01,39141485,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-10
43.7,43.92,43.21,43.8,26043596,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-11
44.34,44.46,42.18,42.22,31108692,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-14
42.44,43.22,42.06,43.04,27587619,0.0,0.0,XOM,ExxonMobil,Energy,Integrated Oil & Gas,2020-12-15
