Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
90.28,90.83,89.01,90.07,498854,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-10-26
89.76,90.3,88.63,89.06,749151,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-10-27
87.44,88.49,86.86,87.35,965454,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-10-28
87.1,88.5,84.14,86.86,1286806,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-10-29
87.04,88.01,85.64,87.14,862689,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-10-30
88.84,90.24,87.67,88.59,1036161,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-02
89.45,92.02,89.45,91.61,987874,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-03
90.42,90.98,85.58,86.78,1055719,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-04
88.99,91.58,87.91,90.82,1088855,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-05
90.68,91.84,90.55,91.08,536109,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-06
98.04,99.06,93.43,93.53,1092945,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-09
94.14,96.48,94.03,95.11,1041490,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-10
95.89,96.34,93.1,93.8,950871,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-11
93.29,93.63,91.37,92.36,558568,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-12
92.51,95.23,92.51,94.99,662144,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-13
96.59,97.84,95.43,97.39,1017203,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-16
96.83,97.07,95.01,95.95,752275,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-17
96.03,96.49,94.67,94.98,655401,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-18
94.81,95.2,93.6,94.37,789297,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-19
94.56,95.42,93.66,94.38,677487,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-20
95.35,95.89,94.0,94.7,554239,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-23
96.14,98.59,95.8,97.52,1170510,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-24
97.43,97.7,96.17,96.69,914441,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-25
97.36,98.16,96.53,97.14,453278,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-27
96.82,97.12,95.06,95.97,1518890,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-11-30
97.52,98.24,96.96,97.07,1048438,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-01
96.23,96.8,95.14,96.14,748774,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-02
96.49,97.97,96.29,96.75,1326902,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-03
97.58,99.39,97.48,98.41,899813,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-04
98.65,98.99,97.41,98.2,884175,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-07
97.73,99.33,97.57,98.63,833385,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-08
98.98,99.42,97.73,98.53,1127380,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-09
97.83,98.6,96.98,98.21,715581,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-10
97.4,98.78,97.32,98.48,746588,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-11
99.26,99.54,97.06,97.14,694906,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-14
97.47,99.99,97.19,99.77,921590,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-15
100.0,100.36,98.46,99.02,912155,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-16
99.56,100.29,98.71,99.75,978835,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-17
99.84,100.64,98.79,100.05,1920345,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-18
98.3,101.27,97.63,100.72,1041913,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-21
100.55,100.55,98.35,99.4,1075705,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-22
100.53,100.75,99.38,99.73,613856,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-23
100.31,100.48,99.31,100.25,249747,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-24
101.44,101.61,100.02,100.37,420669,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-28
101.18,101.63,99.06,99.51,516140,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-29
99.95,101.15,99.65,100.78,427182,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-30
100.78,101.87,100.51,101.79,511130,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2020-12-31
102.03,102.28,98.2,99.69,833588,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-04
99.74,101.43,99.29,99.57,1020081,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-05
101.25,104.66,100.81,103.77,1036798,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-06
105.62,108.68,104.5,108.48,1562822,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-07
105.87,108.84,104.52,107.38,1666907,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-08
106.55,107.4,105.11,106.02,1298392,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-11
106.24,107.62,105.07,105.83,1308320,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-12
106.21,106.21,104.26,105.21,1145204,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-13
105.9,106.39,104.61,105.53,945773,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-14
104.78,104.94,102.2,103.5,1136221,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-15
104.61,105.42,103.34,104.26,1286170,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-19
105.11,105.29,103.42,104.0,776471,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-20
104.0,104.61,102.42,103.14,1202141,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-21
102.73,103.25,102.16,102.6,1273140,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-22
102.44,104.07,100.37,101.0,1273617,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-25
101.45,101.77,99.22,99.23,1155515,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-26
98.25,99.2,96.6,97.95,1258946,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-27
99.26,100.32,98.98,99.09,1374485,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-28
98.39,98.85,96.04,96.59,1014307,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-01-29
97.78,97.92,95.71,97.14,1154970,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-01
98.39,99.15,96.69,97.18,1290535,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-02
97.0,97.39,94.82,95.12,2567300,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-03
97.69,99.57,95.05,97.17,2712477,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-04
96.94,98.65,96.22,98.19,1258709,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-05
98.42,101.33,98.41,100.96,1260929,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-08
101.06,101.5,99.55,101.19,1136498,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-09
102.19,102.22,100.11,101.14,1039227,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-10
101.62,101.97,98.06,98.94,1592262,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-11
98.0,99.39,96.58,99.12,1540784,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-12
99.35,100.86,98.83,98.98,1558670,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-16
98.39,98.99,97.44,98.19,895110,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-17
97.85,98.0,94.63,96.8,1174916,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-18
97.52,99.95,97.1,99.74,1020135,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-19
99.09,100.2,98.91,99.48,947932,0.0,0.0,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,2021-02-22
