Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
88.06,89.84,87.63,89.5,4269116,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-01-21
90.2,90.56,87.28,87.48,6010013,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-01-22
87.11,88.56,86.47,87.8,4899219,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-01-23
88.56,89.99,88.06,88.67,5330011,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-01-24
84.51,87.43,84.25,85.01,6136311,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-01-27
85.48,88.71,84.36,88.64,4797125,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-01-28
88.36,90.77,87.96,90.03,4662054,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-01-29
91.59,94.25,91.11,92.95,5828393,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-01-30
93.35,93.75,90.31,90.82,6826242,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-01-31
88.64,91.29,87.71,90.2,4760242,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-03
90.2,90.23,85.89,86.17,5698180,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-04
87.39,87.82,85.38,86.0,4632712,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-05
87.65,88.13,85.22,86.08,4908612,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-06
87.63,88.73,84.95,85.32,4741001,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-07
86.44,86.78,84.26,84.85,3980375,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-10
84.9,85.33,82.34,82.59,3988757,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-11
81.25,83.06,81.1,82.99,4284296,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-12
83.89,85.09,82.45,84.29,4552366,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-13
84.18,84.53,82.23,84.0,5658320,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-14
84.56,85.15,83.2,84.18,6128959,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-18
83.45,84.52,82.55,83.89,7185340,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-19
84.34,85.55,81.7,83.04,12435287,0.0,0.0,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,2025-02-20
