Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
100.54,100.54,97.52,99.2,1310704,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-10-26
98.82,99.17,97.82,97.99,1038276,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-10-27
96.07,97.2,94.89,95.06,1587175,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-10-28
97.31,97.48,92.22,94.94,2034605,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-10-29
94.36,95.21,92.35,93.33,2148494,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-10-30
94.42,95.93,93.73,95.25,1929366,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-02
96.42,97.7,95.79,96.77,1462056,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-03
97.31,99.97,96.66,98.58,2037281,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-04
99.42,101.23,98.97,100.7,2822305,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-05
100.57,101.26,99.13,99.38,1757535,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-06
103.99,106.33,101.9,101.98,2108807,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-09
102.76,104.02,102.0,102.99,1566990,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-10
103.21,103.53,101.56,101.82,1288001,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-11
101.55,102.26,99.74,100.42,1342585,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-12
101.13,103.02,100.88,102.87,1355342,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-13
103.71,105.89,103.48,104.76,1606493,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-16
103.48,104.31,103.01,104.04,1018652,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-17
104.42,105.02,103.77,104.17,1300278,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-18
104.16,105.4,103.82,105.27,1097444,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-19
105.16,105.46,104.68,104.99,1586774,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-20
105.59,105.84,104.49,105.0,1468408,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-23
105.68,107.31,105.25,107.19,1460701,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-24
106.91,107.28,105.91,106.61,1392327,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-25
107.0,107.7,106.8,107.18,801209,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-27
106.2,106.49,105.01,105.8,2927045,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-11-30
106.84,106.99,105.52,106.34,1742493,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-01
105.87,105.96,104.8,104.98,1309644,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-02
104.67,105.23,104.32,104.52,1342298,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-03
105.09,106.15,104.77,105.86,906927,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-04
105.53,105.69,104.67,105.24,1517861,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-07
104.6,105.63,104.48,105.15,1434372,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-08
105.6,106.91,105.1,106.57,1445743,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-09
106.16,107.08,105.9,106.46,1357939,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-10
105.88,106.5,105.35,105.99,1558067,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-11
106.89,106.89,105.33,105.5,2038019,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-14
106.38,107.65,105.96,107.38,2375254,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-15
107.51,108.64,107.17,107.42,2422514,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-16
108.73,108.88,107.85,108.79,2860720,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-17
108.82,110.17,108.8,109.78,4761447,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-18
108.12,109.45,106.67,108.63,1306352,0.0,0.0,YUM,Yum! Brands,Consumer Discretionary,Restaurants,2020-12-21
