Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
162.0,162.95,158.96,160.48,1168865,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-10-26
160.84,164.48,160.62,162.47,1868651,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-10-27
159.76,161.51,158.16,158.69,2184842,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-10-28
159.46,162.45,158.13,161.19,1558438,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-10-29
160.02,161.32,156.25,158.55,2099675,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-10-30
161.31,163.26,160.71,162.89,1554030,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-02
164.64,165.49,162.9,163.14,1540233,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-03
165.99,176.17,165.97,174.35,3432117,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-04
174.68,176.64,170.38,170.9,2579114,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-05
172.0,172.62,166.26,169.25,2043905,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-06
175.46,176.41,165.01,165.2,2376227,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-09
166.04,166.96,160.49,162.56,2950873,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-10
164.99,165.92,163.33,164.95,1595309,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-11
164.16,166.6,163.79,165.19,1203199,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-12
165.46,167.02,164.51,165.78,1683976,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-13
166.37,168.52,164.6,165.29,1590952,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-16
164.49,166.11,164.07,165.43,1228343,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-17
165.1,166.33,163.42,163.5,1480623,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-18
164.07,166.94,163.54,166.31,1359095,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-19
166.86,168.16,166.14,166.2,1282923,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-20
166.15,167.21,162.14,164.34,1514141,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-23
164.39,166.25,160.47,161.06,2456090,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-24
161.99,162.68,159.24,160.19,2013701,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-25
161.62,162.18,160.29,161.47,853298,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-27
162.48,162.48,159.65,160.38,4567871,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-11-30
161.64,162.48,159.99,161.36,1993273,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-01
161.0,161.84,158.48,158.95,1556514,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-02
158.58,159.08,156.44,157.07,2338913,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-03
157.16,158.22,156.66,157.95,1517922,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-04
157.56,159.2,157.56,158.45,1426818,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-07
156.87,159.5,156.47,158.99,1636728,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-08
159.69,160.16,157.66,158.7,1541212,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-09
159.45,160.47,157.89,158.12,1875924,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-10
157.55,159.62,157.16,159.53,1283315,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-11
160.1,162.87,159.08,159.5,1634309,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-14
160.29,162.11,158.36,161.96,1832689,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-15
162.36,163.33,160.54,160.62,1466357,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-16
161.89,163.97,161.24,162.7,1510029,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-17
162.65,164.54,161.05,163.63,3878644,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-18
160.74,161.56,158.3,160.84,1487160,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-21
160.53,162.38,159.64,161.83,1227633,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-22
162.0,162.98,159.84,159.85,1185095,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-23
159.92,161.87,159.85,160.72,417444,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-24
161.44,162.83,160.31,162.39,1541080,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-28
163.21,165.1,162.4,163.12,1202670,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-29
163.51,164.8,163.16,164.27,1023092,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-30
164.5,165.68,163.23,165.5,1302682,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2020-12-31
166.0,166.24,160.72,163.59,1827134,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-04
163.15,165.29,162.5,164.73,1381834,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-05
162.92,167.91,162.67,167.15,2158981,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-06
167.45,168.8,166.7,167.0,1748433,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-07
167.4,169.88,166.69,168.11,1494341,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-08
167.9,170.49,167.58,169.39,1145307,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-11
169.02,169.75,164.26,166.12,1332242,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-12
165.1,166.05,161.64,161.95,2640120,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-13
162.56,163.38,160.9,160.96,2250907,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-14
161.43,162.1,159.62,161.56,2693157,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-15
162.37,163.95,161.25,162.57,1506816,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-19
162.56,164.2,161.83,163.36,1647763,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-20
162.47,165.75,162.47,164.46,2468686,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-21
164.65,165.2,162.64,163.33,1100271,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-22
162.56,163.19,160.43,161.34,1479751,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-25
161.35,161.64,158.56,159.71,2013936,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-26
157.99,158.28,152.55,153.15,2265901,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-27
154.3,160.65,154.25,156.53,1883986,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-28
155.65,156.57,152.3,154.25,2002566,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-01-29
156.2,157.04,154.25,155.58,1928877,0.0,0.0,ZTS,Zoetis,Health Care,Pharmaceuticals,2021-02-01
